Document name,Coded Segments,Codes,Var1,Var2 ,Polarity,Comments
Asare et al_2023_Association of Comprehensive Menthol Flavor Ban,and declined among Hispanic ?females (?39.5%; P ,"Being Hispanic Female
- (O)
Current cigarette smoking post-menthol flavor ban (+)
Agree",Being Hispanic Female,Current cigarette smoking post-menthol flavor ban (+),- (O),"""Changes did differ significantly by female race and ethnicity. Smoking increased among Black females (58.6%; P "
Asare et al_2023_Association of nicotine replacement therapy pro,"However, event study analysis ??showed increases in each NRT product sales in two quarters ??before the policy change in Massachusetts, indicating preinter?vention increases in NRT product sales (online supplemental ??figure S2).","Menthol Flavor Ban
+(S)
Pre-ban NRT Sales 
Agree",Menthol Flavor Ban,Pre-ban NRT Sales,+(S), 
Asare et al_2023_Association of nicotine replacement therapy pro,"Compared with the comparison states, the unadjusted 4-week ??NRT product sales per 1000 adults who smoke cigarettes in ??Massachusetts increased by 505.10 (95% CI 83.01 to 927.19; ??p=0.02) pieces for gums","Menthol Flavor Ban
+(S)
NRT Sales (Gums) Post Ban
Agree",Menthol Flavor Ban,NRT Sales (Gums) Post Ban,+(S), 
Asare et al_2023_Association of nicotine replacement therapy pro,393.96 (95% CI 175.01 to 612.90; ??p,"Menthol Flavor Ban
+(S)
NRT Sales (Lozenges) Post Ban
Agree",Menthol Flavor Ban,NRT Sales (Lozenges) Post Ban,+(S),"""Compared with the comparison states, the unadjusted 4-week NRT product sales per 1000 adults who smoke cigarettes in Massachusetts increased by 505.10 (95% CI 83.01 to 927.19; p=0.02) pieces for gums and 393.96 (95% CI 175.01 to 612.90; p"
Asare et al_2023_Association of nicotine replacement therapy pro,The adjusted 4-week NRT product sales per 1000 adults who ??smoke cigarettes in Massachusetts compared with the compar?ison states increased by 643.11 (95% CI 365.33 to 920.89; ??p,"Menthol Flavor Ban
+(S)
NRT Sales (Gums) Post Ban
Agree",Menthol Flavor Ban,NRT Sales (Gums) Post Ban,+(S), 
Asare et al_2023_Association of nicotine replacement therapy pro,and 436.97 (95% CI 292.88 to ??581.06; p,"Menthol Flavor Ban
+(S)
NRT Sales (Lozenges) Post Ban
Agree",Menthol Flavor Ban,NRT Sales (Lozenges) Post Ban,+(S),"""The adjusted 4-week NRT product sales per 1000 adults who smoke cigarettes in Massachusetts compared with the comparison states increased by 643.11 (95% CI 365.33 to 920.89; p"
Asare et al_2023_Association of nicotine replacement therapy pro,There was no statistically significant ??change in patch NRT sales per 1000 adults who smoke cigarettes ??in Massachusetts compared with the comparison states after ??the policy was implemented.,"Menthol Flavor Ban
=
NRT Sales (Patches) Post Ban
Agree",Menthol Flavor Ban,NRT Sales (Patches) Post Ban,=,"Review: Should specify that it is just patch NRT sales that remained unchanged, other NRT sales increased"
Asare et al_2023_Association of nicotine replacement therapy pro,"By redefining the after-policy period to include the period of ??anticipation (1 January 2020 to 13 June 2020), we estimated ??higher increases in the sales of NRT products for gums (887.80 ??pieces; 95% CI 633.80 to 1141.80; p","Menthol Flavor Ban
+(S)
NRT Sales (Gums) Post Ban
Agree",Menthol Flavor Ban,NRT Sales (Gums) Post Ban,+(S),"""By redefining the after-policy period to include the period of ??anticipation (1 January 2020 to 13 June 2020), we estimated ??higher increases in the sales of NRT products for gums (887.80 ??pieces; 95% CI 633.80 to 1141.80; p"
Asare et al_2023_Association of nicotine replacement therapy pro,and lozenges ??(546.13 pieces; 95% CI 420.84 to 671.41; p,"Menthol Flavor Ban
+(S)
NRT Sales (Lozenges) Post Ban
Agree",Menthol Flavor Ban,NRT Sales (Lozenges) Post Ban,+(S),"""By redefining the after-policy period to include the period of ??anticipation (1 January 2020 to 13 June 2020), we estimated ??higher increases in the sales of NRT products for gums (887.80 ??pieces; 95% CI 633.80 to 1141.80; p"
Asare et al_2023_Association of nicotine replacement therapy pro,and a ??slight increase in sales of patch NRT products (12.86 pieces; ??95% CI 1.28 to 24.45; p=0.03),"Menthol Flavor Ban
+(S)
NRT Sales (Patches) Post Ban
Agree",Menthol Flavor Ban,NRT Sales (Patches) Post Ban,+(S),"""By redefining the after-policy period to include the period of ??anticipation (1 January 2020 to 13 June 2020), we estimated ??higher increases in the sales of NRT products for gums (887.80 ??pieces; 95% CI 633.80 to 1141.80; p"
Asare_2022_Spatial Analysis of Changes in Cigarette Sales in,"Compared with the comparison states, monthly cigarette sales per 1000 persons ?decreased in Massachusetts by 350.02 packs (95% CI, ?462.35 to ?237.69 packs; P ","Comprehensive Flavored tobacco ban
- (O)
Monthly cigarette sales per 1000 persons (comprehensive flav ban zone)
Agree",Comprehensive Flavored tobacco ban,Monthly cigarette sales per 1000 persons (comprehensive flav ban zone),- (O),"""Compared with the comparison states, monthly cigarette sales per 1000 persons decreased in Massachusetts by 350.02 packs (95% CI, ?462.35 to ?237.69 packs; P "
Asare_2022_Spatial Analysis of Changes in Cigarette Sales in,"and ?increased in Massachusetts bordering states by 9.51 packs (95% CI, 2.72 to 16.30 packs; P = .007),","Comprehensive Flavored tobacco ban
+(S)
Monthly cigarette sales per 1000 persons (areas bordering comprehensive flav ban zone)
Agree",Comprehensive Flavored tobacco ban,Monthly cigarette sales per 1000 persons (areas bordering comprehensive flav ban zone),+(S),"""Compared with the comparison states, monthly cigarette sales per 1000 persons decreased in Massachusetts by 350.02 packs (95% CI, ?462.35 to ?237.69 packs; P "
Asare_2022_Spatial Analysis of Changes in Cigarette Sales in,"for a net decrease of 340.51 packs (95% CI, ?453.97 to ?227.04 packs, P ","Comprehensive Flavored tobacco ban
- (O)
Monthly cigarette sales per 1000 persons (comprehensive flav ban zone and bordering areas)
Agree",Comprehensive Flavored tobacco ban,Monthly cigarette sales per 1000 persons (comprehensive flav ban zone and bordering areas),- (O),"""Compared with the comparison states, monthly cigarette sales per 1000 persons decreased in Massachusetts by 350.02 packs (95% CI, ?462.35 to ?237.69 packs; P "
Bold et al_2019_Evaluating the effect of switching to non-mentho,"Participants smoked significantly fewer cigarettes per day after switching from menthol ??(M=12.2, SD=5.6) to non-menthol cigarettes (M=10.0, SD=5.6), t(28)=3.68, p=.001, ??Cohen’s dz=.68 (see Figure 1).","Forced switch from menthol to non-menthol cigs (simulated ban)
- (O)
cigarettes smoked per day
Agree",Forced switch from menthol to non-menthol cigs (simulated ban),cigarettes smoked per day,- (O), 
Bold et al_2019_Evaluating the effect of switching to non-mentho,"We received filter bags from n=28/29 ??participants (96.6%), and comparisons of the length of the spent cigarette filters indicated ??that participants also smoked significantly less of the non-menthol cigarettes (i.e., longer ??filter lengths on average for non-menthol cigarettes: M=35.0mm, SD=3.3, vs. menthol ??cigarettes: M=33.6mm, SD=4.3, t(27)=?2.12, p=.04, Cohen’s dz=.40).","Forced switch from menthol to non-menthol cigs (simulated ban)
- (O)
Amount of non menthol cigarette smoked (vs menthol)
Agree",Forced switch from menthol to non-menthol cigs (simulated ban),Amount of non menthol cigarette smoked (vs menthol),- (O), 
Bold et al_2019_Evaluating the effect of switching to non-mentho,"Participants reported ??lower nicotine dependence after switching from menthol to non-menthol cigarettes on the ??primary dependence motives of the WISDM, t(28)=4.46, p","Forced switch from menthol to non-menthol cigs (simulated ban)
- (O)
Perceived nicotine dependence after switching from menthol to non-menthol
Agree",Forced switch from menthol to non-menthol cigs (simulated ban),Perceived nicotine dependence after switching from menthol to non-menthol,- (O), 
Bold et al_2019_Evaluating the effect of switching to non-mentho,"Participants reported greater motivation to quit ??smoking, t(28)=?4.07, p","Forced switch from menthol to non-menthol cigs (simulated ban)
+(S)
Motivation to quit smoking
Agree",Forced switch from menthol to non-menthol cigs (simulated ban),Motivation to quit smoking,+(S),"""Participants reported greater motivation to quit smoking, t(28)=?4.07, p"
Bold et al_2019_Evaluating the effect of switching to non-mentho,"more confidence in their ability to quit smoking, t(28)= ??2.11, p=.04, after switching to non-menthol cigarettes","Forced switch from menthol to non-menthol cigs (simulated ban)
+(S)
Confidence they can quit smoking
Agree",Forced switch from menthol to non-menthol cigs (simulated ban),Confidence they can quit smoking,+(S),"""Participants reported greater motivation to quit smoking, t(28)=?4.07, p"
Bold et al_2019_Evaluating the effect of switching to non-mentho,"There were no significant changes in most withdrawal measures (anger, concentration, ??hunger, sadness, and sleep) between baseline and the study endpoint (ps>.30).","Forced switch from menthol to non-menthol cigs (simulated ban)
=
Change in withdrawal measures (anger, concentration, hunger, sadness, sleep)
Agree",Forced switch from menthol to non-menthol cigs (simulated ban),"Change in withdrawal measures (anger, concentration, hunger, sadness, sleep)",=, 
Bold et al_2019_Evaluating the effect of switching to non-mentho,"However, ??there were reductions in reported anxiety (e.g., lower ratings of being tense or anxious, ??impatient), t(28)=2.47, p=.02, a","Forced switch from menthol to non-menthol cigs (simulated ban)
- (O)
Reported anxiety
Agree",Forced switch from menthol to non-menthol cigs (simulated ban),Reported anxiety,- (O),"""However, there were reductions in reported anxiety (e.g., lower ratings of being tense or anxious, impatient), t(28)=2.47, p=.02, and craving (e.g., lower ratings of frequent urges to smoke, being bothered by the desire to smoke), t(28)=4.90, p"
Bold et al_2019_Evaluating the effect of switching to non-mentho,"craving (e.g., lower ratings of frequent urges to smoke, ??being bothered by the desire to smoke), t(28)=4.90, p","Forced switch from menthol to non-menthol cigs (simulated ban)
- (O)
Reported craving
Agree",Forced switch from menthol to non-menthol cigs (simulated ban),Reported craving,- (O),"""However, there were reductions in reported anxiety (e.g., lower ratings of being tense or anxious, impatient), t(28)=2.47, p=.02, and craving (e.g., lower ratings of frequent urges to smoke, being bothered by the desire to smoke), t(28)=4.90, p"
Bold et al_2019_Evaluating the effect of switching to non-mentho,"Compared to their usual-brand menthol cigarettes, participants reported significant ??reductions in the subjective ratings of the non-menthol cigarettes: lower ratings of smoking ??satisfaction, psychological reward, enjoyment of respiratory tract sensations, and craving ??reduction, ps?.002.","Forced switch from menthol to non-menthol cigs (simulated ban)
- (O)
Subjective rating of the non-menthol cigs (vs menthol)
Agree",Forced switch from menthol to non-menthol cigs (simulated ban),Subjective rating of the non-menthol cigs (vs menthol),- (O), 
Bold et al_2019_Evaluating the effect of switching to non-mentho,"There were no significant differences in the ratings of aversion (e.g., ??nausea and dizziness) between the menthol and non-menthol phases, t(28)=?1.22, p=.23.","Forced switch from menthol to non-menthol cigs (simulated ban)
=
Aversion to smoking
Agree",Forced switch from menthol to non-menthol cigs (simulated ban),Aversion to smoking,=, 
Bold et al_2019_Evaluating the effect of switching to non-mentho,"Paired sample t-tests indicated significant differences ??in intensity of demand, t(28)=2.45, p=.02, Cohen’s dz=.45, and peak expenditure per ??cigarette, t(27)=2.06, p=.05, Cohen’s dz=.39, indicating greater demand","Forced switch from menthol to non-menthol cigs (simulated ban)
+(S)
Demand for menthol (vs non menthol)
Agree",Forced switch from menthol to non-menthol cigs (simulated ban),Demand for menthol (vs non menthol),+(S),"""Paired sample t-tests indicated significant differences in intensity of demand, t(28)=2.45, p=.02, Cohen’s dz=.45, and peak expenditure per cigarette, t(27)=2.06, p=.05, Cohen’s dz=.39, indicating greater demand and expenditure for menthol compared to non-menthol cigarettes. """
Bold et al_2019_Evaluating the effect of switching to non-mentho,and expenditure for ??menthol compared to non-menthol cigarettes,"Forced switch from menthol to non-menthol cigs (simulated ban)
+(S)
Expenditure for menthol (vs non menthol)
Agree",Forced switch from menthol to non-menthol cigs (simulated ban),Expenditure for menthol (vs non menthol),+(S),"""Paired sample t-tests indicated significant differences in intensity of demand, t(28)=2.45, p=.02, Cohen’s dz=.45, and peak expenditure per cigarette, t(27)=2.06, p=.05, Cohen’s dz=.39, indicating greater demand and expenditure for menthol compared to non-menthol cigarettes. """
Bold et al_2019_Evaluating the effect of switching to non-mentho,"There was a non-significant difference in ??average breakpoint (i.e., price at which self-reported cigarette consumption was zero, ??menthol M=14.8, SD=27.4 vs. non-menthol M=4.8, SD=8.8, t(27)=2.0, p=.06, Cohen’s ??dz=.38).","Forced switch from menthol to non-menthol cigs (simulated ban)
=
difference in average breakpoint (i.e., price at which self-reported menthol cigarette consumption was zero (vs non menth)
Agree",Forced switch from menthol to non-menthol cigs (simulated ban),"difference in average breakpoint (i.e., price at which self-reported menthol cigarette consumption was zero (vs non menth)",=, 
Bold et al_2019_Evaluating the effect of switching to non-mentho,"At the end of the study, participants were responded about their expected behavior if ??menthol cigarettes were no longer available. Participants reported they were significantly ??more likely to quit smoking (M=6.5 out of 10, SD=3.0) than to continue smoking the non-menthol cigarettes they tried (M=4.1 out of 10, SD=2.6), t(28)=2.52, p=.02, Cohen’s dz=.47, ??if menthol cigarettes were no longer available.","Forced switch from menthol to non-menthol cigs (simulated ban)
+(S)
Likelihood they would quit smoking if menthol cigs were no longer available (vs continue w non-menth cigs)
Agree",Forced switch from menthol to non-menthol cigs (simulated ban),Likelihood they would quit smoking if menthol cigs were no longer available (vs continue w non-menth cigs),+(S), 
Bold et al_2019_Evaluating the effect of switching to non-mentho,"There was a significant interaction between race and cigarettes ??per day, F(1,27)=10.15, p=.004, Cohen’s d=1.21, indicating a greater reduction in cigarettes ??per day among Black smokers (M=?3.5, SD=2.8) than non-Black smokers (M=?0.2, ??SD=2.6).","Being Black (vs. Non-Black)
- (O)
Cigarettes smoked per day after simulated menthol ban
Agree",Being Black (vs. Non-Black),Cigarettes smoked per day after simulated menthol ban,- (O), 
Bold et al_2019_Evaluating the effect of switching to non-mentho,"There was not a significant interaction between gender and changes in cigarettes ??per day: F(1,27)=0.04, p=.84, Cohen’s d=.07, indicating similar reductions in cigarettes per ??day among males (M=?2.3, SD=3.6) and females (M=?2.1, SD=2.8).","Being Female (vs. Male) (+) (+) (+) (+) (+) (+) (+)
=
cigarettes smoked per day
Agree",Being Female (vs. Male) (+) (+) (+) (+) (+) (+) (+),cigarettes smoked per day,=, 
Booras et al_2023_A Longitudinal Study of Perceptions of the Mas,"Compared to pre-ban, twice as many participants reported that the ban positively ?impacted them (3/14, 21% pre-ban vs. 6/14, 43% post-ban).","Menthol Flavor Ban
+(S)
Percieved postive impact of ban (+)
Agree",Menthol Flavor Ban,Percieved postive impact of ban (+),+(S), 
Booras et al_2023_A Longitudinal Study of Perceptions of the Mas,"While the number of individuals who smoked ?cigarettes daily was similar pre- vs. post-ban (9/14 (64.3%) pre-ban vs. 8/14 (57%) 6 monthsInt. J. Environ. Res. Public Health 2023, 20, 5790 8 of 13 post-ban), the mean number of cigarettes smoked per day significantly decreased (mean ?(SD): 13.9 (10.8) pre-ban vs. 5.8 (3.4) 6-months post-ban, p = 0.01). ","Menthol Flavor Ban
- (O)
cigarettes smoked per day
Agree",Menthol Flavor Ban,cigarettes smoked per day,- (O), 
Booras et al_2023_A Longitudinal Study of Perceptions of the Mas,"At 6 months post-ban, only 2 of the 10 individuals who ?exclusively smoked menthol cigarettes pre-ban started to smoke non-menthol cigarettes.","Menthol Flavor Ban
+(S)
Menthol smoker transition to non-menthol cig
Agree",Menthol Flavor Ban,Menthol smoker transition to non-menthol cig,+(S), 
Booras et al_2023_A Longitudinal Study of Perceptions of the Mas,"Compared to pre-ban, 71% (10/14) reported purchasing ?and smoking fewer menthol cigarettes at 6 months.","Menthol Flavor Ban
- (O)
Current Cigarette smoking (+) (+)
Agree",Menthol Flavor Ban,Current Cigarette smoking (+) (+),- (O),Review: menthol ban decreased current cigarette smoking (polarity should be - )
Booras et al_2023_A Longitudinal Study of Perceptions of the Mas,"Most participants who continued ?to smoke menthol cigarettes post-ban began purchasing their cigarettes out of state: Pre-ban, 78.5% (11/14) bought menthol cigarettes in Massachusetts, while 6 months post-ban, ?78.5% (11/14) bought menthol cigarettes out of state.","Menthol Flavor Ban
+(S)
Cross Border Purchasing (+)
Agree",Menthol Flavor Ban,Cross Border Purchasing (+),+(S), 
Booras et al_2023_A Longitudinal Study of Perceptions of the Mas,"post-ban, participants were smoking fewer cigarettes per day on ?average (13.9 (SD 10.8) pre-ban versus 5.8 (SD 3.4) 6 months post-ban, p = 0.01).","Menthol Flavor Ban
- (O)
Current Cigarette smoking (+) (+)
Agree",Menthol Flavor Ban,Current Cigarette smoking (+) (+),- (O),Review: menthol ban decreased current cigarette smoking (polarity should be - )
Booras_2022_Impact of the Massachusetts Menthol Ban on Perceptio,"Compared to pre-ban, 71% (10/14) reported purchasing","Comprehensive Flavored tobacco ban
- (O)
Menthol cigarette purchasing
Agree",Comprehensive Flavored tobacco ban,Menthol cigarette purchasing,- (O),"""Compared to pre-ban, 71% (10/14) reported purchasing and smoking fewer menthol cigarettes at 6-months."""
Booras_2022_Impact of the Massachusetts Menthol Ban on Perceptio,smoking fewer menthol cigarettes at 6-months.,"Comprehensive Flavored tobacco ban
- (O)
Menthol Cigarette Smoking
Agree",Comprehensive Flavored tobacco ban,Menthol Cigarette Smoking,- (O),"""Compared to pre-ban, 71% (10/14) reported purchasing and smoking fewer menthol cigarettes at 6-months."""
Booras_2022_Impact of the Massachusetts Menthol Ban on Perceptio,"Most participants who continued to smoke menthol ?cigarettes post-ban began purchasing their cigarettes out of state: Pre-ban, 78.5% (11/14) bought ?menthol cigarettes in Massachusetts; 6-months post-ban 78.5% (11/14) bought menthol cigarettes out of ?state.","Comprehensive Flavored tobacco ban
+(S)
Cross border purchase of menthol cigarettes among those still smoking post ban (vs those who stopped)
Agree",Comprehensive Flavored tobacco ban,Cross border purchase of menthol cigarettes among those still smoking post ban (vs those who stopped),+(S), 
Booras_2022_Impact of the Massachusetts Menthol Ban on Perceptio,"The number of individuals who smoked cigarettes daily was 64.3% ?(9/14) pre-ban, and 57% (8/14) 6-months post-ban","Comprehensive Flavored tobacco ban
- (O)
Smoking cigarettes daily
Agree",Comprehensive Flavored tobacco ban,Smoking cigarettes daily,- (O), 
Booras_2022_Impact of the Massachusetts Menthol Ban on Perceptio,Fifty percent (7/14) stated that they made at least one quit ?attempt due to the ban (Table 3).,"Comprehensive Flavored tobacco ban
+(S)
Quit Attempts (Post Ban) (+) (+) (+) (+)
Agree",Comprehensive Flavored tobacco ban,Quit Attempts (Post Ban) (+) (+) (+) (+),+(S), 
Booras_2022_Impact of the Massachusetts Menthol Ban on Perceptio,"At 6 months, 36% (5/14) strongly agreed/agreed and 57% (8/14) strongly disagreed/disagreed with the ?Massachusetts menthol ban (Table 3). Compared to pre-ban, 6 participants felt more positive (e.g., went ?from ‘neutral’ pre-ban to ‘agree’ post-ban), 6 had no change in opinion, and 2 felt more negative (e.g., went ?from ‘disagree’ to ‘strongly disagree’) about the ban at 6 months.","Comprehensive Flavored tobacco ban
+(S)
Support for comprehensive flavor ban
Agree",Comprehensive Flavored tobacco ban,Support for comprehensive flavor ban,+(S), 
Booras_2022_Impact of the Massachusetts Menthol Ban on Perceptio,"At 6 months, 43% (6/14) strongly agreed/agreed and 57% (8/14) strongly disagreed/disagreed with a ?national menthol ban. Compared to pre-ban, 7 participants felt more positive, 5 had no change in their ?opinion, and 2 felt more negative about a national ban at 6 months.","Comprehensive Flavored tobacco ban
+(S)
Support for national menthol ban
Agree",Comprehensive Flavored tobacco ban,Support for national menthol ban,+(S), 
Borland_2018_Is blue the new green,The proportion of packs with green as a prominent pack colour ??declined in the postban sample (pre: 87.5% vs post: 17.4%; ??p?0.001),"Menthol Flavor Ban
- (O)
Proportion of traditional menthol brands' packs having green as prominent color
Agree",Menthol Flavor Ban,Proportion of traditional menthol brands' packs having green as prominent color,- (O),"""The proportion of packs with green as a prominent pack colour declined in the postban sample (pre: 87.5% vs post: 17.4%; p?0.001), whereas the proportion with blue as a prominent colour increased (pre: 6.3% vs post: 43.5%; p=0.012)"""
Borland_2018_Is blue the new green,whereas the proportion with blue as a prominent ??colour increased (pre: 6.3% vs post: 43.5%; p=0.012),"Menthol Flavor Ban
+(S)
Proportion of traditional menthol brands' packs having blue as a prominent color
Agree",Menthol Flavor Ban,Proportion of traditional menthol brands' packs having blue as a prominent color,+(S),"""The proportion of packs with green as a prominent pack colour declined in the postban sample (pre: 87.5% vs post: 17.4%; p?0.001), whereas the proportion with blue as a prominent colour increased (pre: 6.3% vs post: 43.5%; p=0.012)"""
Borland_2018_Is blue the new green,(table 1),"Menthol Flavor Ban
- (O)
Traditional menthol brands' packs having green as prominent color post ban(vs blue)
Agree",Menthol Flavor Ban,Traditional menthol brands' packs having green as prominent color post ban(vs blue),- (O),"""The proportion of packs with green as a prominent pack colour declined in the postban sample (pre: 87.5% vs post: 17.4%; p?0.001), whereas the proportion with blue as a prominent colour increased (pre: 6.3% vs post: 43.5%; p=0.012)"" Review: I am not sure where we see this correlation in the text."
Borland_2018_Is blue the new green,"Similarly, postban secondary filter tip colours were less likely to ??be green (pre: 93.8% vs post: 13%; p?0.001)","Menthol Flavor Ban
- (O)
Likelihood that traditional menthol brands' secondary filter tip colors are green
Agree",Menthol Flavor Ban,Likelihood that traditional menthol brands' secondary filter tip colors are green,- (O),"""Similarly, postban secondary filter tip colours were less likely to be green (pre: 93.8% vs post: 13%; p?0.001) and more likely to be blue (pre: 6.3% vs post: 47.8%, p=0.006). """
Borland_2018_Is blue the new green,"to be blue (pre: 6.3% vs post: 47.8%, p=0.006)","Menthol Flavor Ban
+(S)
Likelihood that traditional menthol brands' secondary filter tip colors are blue
Agree",Menthol Flavor Ban,Likelihood that traditional menthol brands' secondary filter tip colors are blue,+(S),"""Similarly, postban secondary filter tip colours were less likely to be green (pre: 93.8% vs post: 13%; p?0.001) and more likely to be blue (pre: 6.3% vs post: 47.8%, p=0.006). """
Borland_2018_Is blue the new green,"Postban brands ??were more likely to have a colour descriptor as part of their ??variant name (pre: 6.3% vs post: 52.2%, p=0.003)","Menthol Flavor Ban
+(S)
Likelihood that traditional menthol brands have a color descriptor as part of variant name post ban
Agree",Menthol Flavor Ban,Likelihood that traditional menthol brands have a color descriptor as part of variant name post ban,+(S),"""Postban brands were more likely to have a colour descriptor as part of their variant name (pre: 6.3% vs post: 52.2%, p=0.003), with blue being the most common descriptor."""
Borland_2018_Is blue the new green,with blue ??being the most common descriptor.,"Menthol Flavor Ban
+(S)
Likelihood that traditional menthol brands have a 'blue' descriptor as part of variant name post ban (vs other colors)
Agree",Menthol Flavor Ban,Likelihood that traditional menthol brands have a 'blue' descriptor as part of variant name post ban (vs other colors),+(S),"""Postban brands were more likely to have a colour descriptor as part of their variant name (pre: 6.3% vs post: 52.2%, p=0.003), with blue being the most common descriptor."""
Borland_2018_Is blue the new green,"‘Menthol’ was not observed ??on postban packs,","Menthol Flavor Ban
- (O)
Presence of 'Menthol' on traditional menthol brand packs post ban
Agree",Menthol Flavor Ban,Presence of 'Menthol' on traditional menthol brand packs post ban,- (O),"""‘Menthol’ was not observed on postban packs, however, it was found on the cellophane of four (12.1%) packs, labelling them as non-menthol alternatives (‘Smooth taste redesigned without menthol’)."""
Borland_2018_Is blue the new green,"however, it was found on the cellophane of ??four (12.1%) packs, labelling them as non-menthol alternatives ??(‘Smooth taste redesigned without menthol’).","Menthol Flavor Ban
+(S)
Cigarette pack cellophane wraps with non-menthol alternative labelling
Agree",Menthol Flavor Ban,Cigarette pack cellophane wraps with non-menthol alternative labelling,+(S),"""‘Menthol’ was not observed on postban packs, however, it was found on the cellophane of four (12.1%) packs, labelling them as non-menthol alternatives (‘Smooth taste redesigned without menthol’).""Review: should this var2 be changed to just Cigarette pack cellophane wraps with non-menthol alternative labelling?"
